Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
880000,3.2000418,840.5652173913044,-0.058485042,0.34597412,-0.17385907829421657,-0.17385907829421657,3.7295375229282812,1.0
900000,3.177511,687.5,-0.104187965,0.3622414,-0.5782290325864339,-0.5782290325864339,2.876657765129611,1.0
920000,3.1981506,773.5384615384615,-0.07638877,0.37289697,-0.495453836566482,-0.495453836566482,3.936772822939719,1.0
940000,3.1604977,825.28,-0.073191546,0.4085504,-0.35029599035624415,-0.35029599035624415,4.559967514649034,1.0
960000,3.1534748,632.40625,-0.037325382,0.4436246,-0.4214062395003566,-0.4214062395003566,3.634126955876127,1.0
980000,3.1190913,731.75,-0.08047371,0.4584623,-0.5812333408566365,-0.5812333408566365,3.997510294188504,1.0
1000000,3.126822,722.5862068965517,-0.08244847,0.4515539,-0.3305827469870063,-0.3305827469870063,4.731266474929349,1.0
1020000,3.0703773,782.2173913043479,-0.07105407,0.5324091,0.15950000575685408,0.15950000575685408,5.967030184964339,1.0
1040000,2.9920566,785.68,-0.03579053,0.58483565,-0.31627198474365287,-0.31627198474365287,6.577802296727896,1.0
1060000,3.0372188,816.7916666666666,-0.060071394,0.5448648,-0.2617666637136911,-0.2617666637136911,5.597957947058603,1.0
1080000,2.9337397,790.925925925926,-0.022492671,0.58252007,-0.4760111167518146,-0.4760111167518146,6.047477222841095,1.0
1100000,2.9318228,764.6,-0.025967661,0.6594377,-0.06069599048350938,-0.06069599048350938,6.419016109108925,1.0
1120000,2.9622555,862.72,-0.025832975,0.6303672,-0.540359991050791,-0.540359991050791,5.704065446853638,1.0
1140000,2.9514203,713.4642857142857,-0.009872999,0.6215223,-0.34160713319683317,-0.34160713319683317,4.212301377606179,1.0
1160000,2.848444,666.5357142857143,-0.037077326,0.71427715,-0.4775321304207734,-0.4775321304207734,5.415075217573238,1.0
1180000,2.8039076,582.5428571428571,-0.061489344,0.6764175,-0.428368562444978,-0.428368562444978,3.7626934498548508,1.0
1200000,2.8026073,692.5,-0.03175741,0.65200233,-0.007699991281177583,-0.007699991281177583,4.251498930156231,1.0
1220000,2.7333384,627.7741935483871,0.024299314,0.71473837,-0.49288709185672025,-0.49288709185672025,4.2578357220402046,1.0
1240000,2.7282145,723.4827586206897,-0.026901657,0.6694987,-0.372093098256175,-0.372093098256175,4.492518686577036,1.0
1260000,2.7458456,657.9666666666667,0.017208206,0.68422633,-0.7285966699244455,-0.7285966699244455,3.893456901485721,1.0
