Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
1320000,2.7331645,-0.051787306,0.6823816,494.825,-0.5603926695653283,-0.5603926695653283,2.7732563746139043,1.0
1340000,2.738416,0.0039957846,0.6883814,625.3125,0.24515000289829914,0.24515000289829914,3.8316725376062095,1.0
1360000,2.723205,0.0024332325,0.6380576,753.08,-0.10399228717478064,-0.10399228717478064,3.8604311355604577,1.0
1380000,2.7137516,-0.0039776186,0.63396776,582.7096774193549,-0.5241093684653606,-0.5241093684653606,3.5505280662036967,1.0
1400000,2.685165,-0.03498018,0.65256846,778.44,-0.46227199205197395,-0.46227199205197395,4.378955731913448,1.0
1420000,2.6704974,-0.013161963,0.5987838,666.4117647058823,-0.049070587742950436,-0.049070587742950436,3.6438620163209956,1.0
1440000,2.6822276,-0.022262713,0.64183265,755.84,-0.0865125002807569,-0.0865125002807569,4.387630484998226,1.0
1460000,2.6165082,-0.01858793,0.5930846,624.6470588235294,-0.5588857080155452,-0.5588857080155452,3.3289146935833354,1.0
1480000,2.6411731,0.0073797232,0.61660796,607.5454545454545,0.07844241932704762,0.07844241932704762,3.558046041733839,1.0
1500000,2.6340044,-0.026047096,0.62155586,798.28,-0.11133330925076734,-0.11133330925076734,4.7139489358911915,1.0
1520000,2.5531218,-0.014520174,0.6113171,777.0869565217391,0.13300416627316736,0.13300416627316736,4.366479920223355,1.0
1540000,2.5868645,-0.019633217,0.62111974,823.44,0.12031599689740688,0.12031599689740688,4.849457051753998,1.0
1560000,2.521895,0.018125648,0.63729894,477.0232558139535,-0.7836999918190698,-0.7836999918190698,3.0168227970513493,1.0
1580000,2.5630467,0.02578118,0.6164342,652.9032258064516,0.29779031738965595,0.29779031738965595,3.327916530351485,1.0
1600000,2.5204084,0.015027465,0.628761,700.1428571428571,0.4495407578242184,0.4495407578242184,3.846764031659674,1.0
1620000,2.5164535,0.05831438,0.6475532,603.5142857142857,0.004163897504137519,0.004163897504137519,3.525114412393628,1.0
1640000,2.5402966,0.05489339,0.6382069,656.5,0.2514133465437529,0.2514133465437529,3.844888840134566,1.0
1660000,2.5523534,0.030716594,0.6346231,798.0416666666666,0.29230416467180476,0.29230416467180476,4.154459361452609,1.0
1680000,2.5187345,0.03007654,0.63781357,510.0,-0.47317249927145894,-0.47317249927145894,2.936046187381726,1.0
1700000,2.4978914,0.0040633623,0.6389954,370.7037037037037,-1.1400654494624838,-1.1400654494624838,2.181364471511915,1.0
