Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
400000,3.3395894,151.33333333333334,-0.523381,1.0734296,-1.8166920582344386,-1.8166920582344386,0.36235668815742617,1.0
420000,3.3308766,276.0,-0.48484382,1.0719028,-1.5528352081539556,-1.5528352081539556,0.6676710709358867,1.0
440000,3.333783,693.0666666666667,-0.23602782,0.73889625,-0.8237866653459301,-0.8237866653459301,1.2985534340919307,1.0
460000,3.3368351,999.0,-0.14127322,0.5962105,-0.18471578439072656,-0.18471578439072656,1.5222069579911859,1.0
480000,3.3442702,999.0,-0.13621864,0.51337767,-0.22224999191530515,-0.22224999191530515,1.7077340241521597,1.0
500000,3.3354728,999.0,-0.10758269,0.47208133,-0.21377141991286494,-0.21377141991286494,1.5331745626670974,1.0
520000,3.3373563,473.8,-0.19140342,0.42420685,-1.1831424861360573,-1.1831424861360573,0.8728959633386694,1.0
540000,3.340689,999.0,-0.10204051,0.38761336,-0.18383999192737974,-0.18383999192737974,2.1830372385680676,1.0
560000,3.3337994,600.8571428571429,-0.1600552,0.41695896,-1.1003256953022043,-1.1003256953022043,1.6302812449700599,1.0
580000,3.33435,274.44594594594594,-0.21276797,0.36308616,-1.618031067723358,-1.618031067723358,0.8764292021326067,1.0
600000,3.3410954,281.3606557377049,-0.26238847,0.37449396,-1.5166885247663977,-1.5166885247663977,0.7338054217226406,1.0
620000,3.3472683,443.25531914893617,-0.1871197,0.37015837,-1.420645821034365,-1.420645821034365,1.8000368194916518,1.0
640000,3.342884,331.80645161290323,-0.2907551,0.37777823,-1.4469064493530295,-1.4469064493530295,1.462837866409832,1.0
660000,3.33449,306.1515151515151,-0.26595506,0.37948534,-1.3605742357807078,-1.3605742357807078,1.512252417699942,1.0
680000,3.3049822,403.5625,-0.24978621,0.41218764,-1.4025666677844129,-1.4025666677844129,2.6651350349978506,1.0
700000,3.308363,602.0645161290323,-0.101252794,0.4874432,-1.1047548232262112,-1.1047548232262112,5.666934901292646,1.0
720000,3.283986,543.6666666666666,-0.09705537,0.49490848,-0.9276684174240616,-0.9276684174240616,3.9498656664570597,1.0
740000,3.2848854,302.2686567164179,-0.19015123,0.58483714,-1.5230434587760153,-1.5230434587760153,2.4842819973583454,1.0
760000,3.2654312,734.9583333333334,-0.091524355,0.56712973,-0.6385999879178902,-0.6385999879178902,5.199792158363077,1.0
780000,3.2545993,939.9545454545455,-0.083348654,0.58391804,0.07073636769597545,0.07073636769597545,6.878673045472666,1.0
800000,3.226898,945.3913043478261,-0.06876465,0.58438605,-0.4319260813214857,-0.4319260813214857,7.375465219759422,1.0
820000,3.183584,488.2564102564103,-0.07009982,0.6025412,-1.0375999895899066,-1.0375999895899066,4.201345890903702,1.0
840000,3.177456,559.125,-0.08712946,0.6506054,-0.9482374975750645,-0.9482374975750645,3.8753378606343176,1.0
860000,3.1475008,525.4186046511628,-0.11614594,0.6599449,-0.9869976566317978,-0.9869976566317978,3.5225210213535574,1.0
880000,3.1628044,666.1290322580645,-0.0894139,0.63549984,-0.7661871048452843,-0.7661871048452843,4.296776016535718,1.0
900000,3.050717,231.02597402597402,-0.1427362,0.7194811,-1.5598038931002285,-1.5598038931002285,1.6571848958295274,1.0
920000,3.101342,322.93650793650795,-0.17539378,0.7400262,-1.4800365093055121,-1.4800365093055121,2.4320899415761232,1.0
940000,3.018878,638.1875,-0.11618125,0.7275665,-0.6766937483225774,-0.6766937483225774,4.271117566036992,1.0
960000,2.942601,516.7027027027027,-0.08527702,0.6791954,-1.046464846985465,-1.046464846985465,3.3100528487986005,1.0
980000,2.9764872,710.9375,-0.06473757,0.6968717,-0.7357500042617175,-0.7357500042617175,4.908173659350723,1.0
1000000,2.954349,631.7777777777778,-0.08221287,0.6987282,-0.7417185260737488,-0.7417185260737488,4.21686475041012,1.0
1020000,2.9135416,648.060606060606,-0.1149791,0.715168,-0.7649333278285199,-0.7649333278285199,4.724359623523372,1.0
1040000,2.973458,810.8636363636364,-0.09729583,0.70507514,-0.4580272688683842,-0.4580272688683842,5.0773506837643,1.0
