Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
620000,2.6767218,750.1379310344828,-0.13104576,-1.132072417386647,-1.132072417386647,0.0029569028,0.021303415,0.0002908063,1.0
640000,2.6354818,763.24,-0.15089144,-1.2459399989247322,-1.2459399989247322,0.0055043153,0.024503505,0.00029049744,1.0
660000,2.5995767,804.2916666666666,-0.13232228,-1.0780875052635868,-1.0780875052635868,0.00537132,0.023113824,0.00029018812,1.0
680000,2.5265505,686.75,-0.11764334,-1.1356607106115137,-1.1356607106115137,0.0051052193,0.024510669,0.00028987986,1.0
700000,2.5619457,767.6666666666666,-0.10523016,-0.999620821326971,-0.999620821326971,0.002734292,0.026401099,0.0002896486,1.0
720000,2.5834286,808.8076923076923,-0.12057422,-1.1193499974906445,-1.1193499974906445,0.0038324492,0.021952305,0.0002894168,1.0
740000,2.53154,874.8260869565217,-0.11861747,-0.9648130390307178,-0.9648130390307178,0.0020952104,0.021423897,0.0002891071,1.0
760000,2.5721517,734.5714285714286,-0.147801,-1.3086392852876867,-1.3086392852876867,0.004747374,0.019441169,0.00028879894,1.0
780000,2.5605924,706.2142857142857,-0.17032342,-0.9944678606199366,-0.9944678606199366,0.004099508,0.025357068,0.00028849032,1.0
800000,2.6047392,820.9583333333334,-0.12555373,-0.9906708272174001,-0.9906708272174001,0.002302409,0.024363019,0.0002881814,1.0
820000,2.5830417,838.1666666666666,-0.15263301,-1.1746083249648411,-1.1746083249648411,0.002149393,0.02251751,0.00028787137,1.0
840000,2.584256,860.0833333333334,-0.13141976,-1.071620832507809,-1.071620832507809,0.00263813,0.024118993,0.00028756354,1.0
860000,2.5818624,694.7333333333333,-0.13782588,-0.9806066659589608,-0.9806066659589608,0.0050741243,0.022866338,0.00028725527,1.0
880000,2.5523283,729.4230769230769,-0.16378921,-1.0973346127340426,-1.0973346127340426,0.00474716,0.021455675,0.00028694622,1.0
900000,2.5181227,726.72,-0.12951763,-1.009275985956192,-1.009275985956192,0.0023676953,0.024392752,0.00028663798,1.0
920000,2.4732826,819.24,-0.19561939,-1.1422239968180656,-1.1422239968180656,0.004765098,0.022535352,0.0002863286,1.0
940000,2.5321903,756.9629629629629,-0.17673881,-1.1856259248322911,-1.1856259248322911,0.0047338335,0.026120834,0.00028601906,1.0
960000,2.5758777,776.1538461538462,-0.15253034,-1.12524615543393,-1.12524615543393,0.0026336724,0.021267662,0.00028570968,1.0
980000,2.5719457,770.8148148148148,-0.12668575,-1.0914653857740073,-1.0914653857740073,0.0037481515,0.023112424,0.00028540002,1.0
1000000,2.5517566,677.9310344827586,-0.13936076,-1.249579304508094,-1.249579304508094,0.006985655,0.019484265,0.0002850905,1.0
1020000,2.5844324,812.4583333333334,-0.13561583,-1.0228959983587265,-1.0228959983587265,0.0029890407,0.021636821,0.000284782,1.0
1040000,2.5765345,673.8333333333334,-0.13890496,-1.0096533268690109,-1.0096533268690109,0.004772851,0.022826763,0.00028455086,1.0
1060000,2.549177,674.1612903225806,-0.16597717,-1.2249903219842142,-1.2249903219842142,0.0066177286,0.018090634,0.00028431963,1.0
1080000,2.5699775,733.7777777777778,-0.16857314,-1.0327370368220188,-1.0327370368220188,0.0011545776,0.022928482,0.00028401046,1.0
1100000,2.5319493,878.7619047619048,-0.15654543,-1.120185707296644,-1.120185707296644,0.0027770149,0.023412608,0.0002837018,1.0
1120000,2.4949493,683.40625,-0.18688111,-1.1234187395311892,-1.1234187395311892,0.0026818323,0.02050548,0.0002833926,1.0
1140000,2.521528,867.4545454545455,-0.14590621,-0.8783043428607609,-0.8783043428607609,0.0045452723,0.023803394,0.000283083,1.0
1160000,2.5722704,671.2413793103449,-0.126573,-0.9322379180069628,-0.9322379180069628,0.0022774017,0.016833322,0.0002827739,1.0
1180000,2.550091,888.2272727272727,-0.13183886,-1.0504818101498214,-1.0504818101498214,0.0035452265,0.01712644,0.00028246484,1.0
1200000,2.5646694,838.2272727272727,-0.12246084,-1.0002681829712607,-1.0002681829712607,0.0013385825,0.023761757,0.00028215675,1.0
1220000,2.5946872,885.12,-0.101330705,-1.008255995810032,-1.008255995810032,0.0009298447,0.02336258,0.00028184836,1.0
1240000,2.5818172,691.1034482758621,-0.14035293,-1.1467642895877361,-1.1467642895877361,0.0028630914,0.019884806,0.0002815394,1.0
1260000,2.5728304,643.6060606060606,-0.11357382,-1.0681794057874119,-1.0681794057874119,0.0034514393,0.022563528,0.00028122924,1.0
1280000,2.5749035,683.5,-0.097475074,-1.0788535704570157,-1.0788535704570157,0.0069099856,0.024909051,0.00028092053,1.0
1300000,2.5398998,637.6896551724138,-0.11741036,-1.0883241288107017,-1.0883241288107017,0.004049007,0.027340556,0.00028061192,1.0
1320000,2.5360847,710.7931034482758,-0.13241377,-1.2306068799105183,-1.2306068799105183,0.004272964,0.028304819,0.0002803022,1.0
1340000,2.4946296,754.5185185185185,-0.11508172,-1.1048346078739717,-1.1048346078739717,0.0043699276,0.02506354,0.0002799926,1.0
