Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
1300000,2.9959548,630.3823529411765,-0.12875813,0.59907824,-0.457077133369499,-0.457077133369499,3.244431172204869,1.0
1320000,2.9753149,544.90625,-0.13729623,0.63898784,-0.23899998882006912,-0.23899998882006912,3.1454957820824347,1.0
1340000,3.0277658,547.475,-0.14983624,0.61184025,-0.7656219460101367,-0.7656219460101367,2.941817987397904,1.0
1360000,2.997008,667.8928571428571,-0.16912076,0.59679765,-0.8998107012947523,-0.8998107012947523,3.192867748572358,1.0
1380000,2.982305,658.7241379310345,-0.11452183,0.5904895,-0.14828275119612827,-0.14828275119612827,3.6148495168007653,1.0
1400000,2.9556513,529.1904761904761,-0.12792645,0.5875983,-0.6753302360695332,-0.6753302360695332,3.0575812717163284,1.0
1420000,2.9347336,664.0333333333333,-0.08667201,0.55380565,-0.1470700012364735,-0.1470700012364735,3.4911447844157615,1.0
1440000,2.9270413,411.1063829787234,-0.08816859,0.60254467,-0.6727723408430973,-0.6727723408430973,2.4920463479183455,1.0
1460000,2.910852,591.7272727272727,-0.14411366,0.5833655,-0.48071817085534957,-0.48071817085534957,3.302841646653233,1.0
1480000,2.9267757,547.5428571428571,-0.122398846,0.56401336,0.04439715129057212,0.04439715129057212,2.798779512915228,1.0
1500000,2.8543344,517.525,-0.0523765,0.57111573,-0.3394674882692925,-0.3394674882692925,2.7918152839876713,1.0
1520000,2.828809,515.4736842105264,-0.076373026,0.5803863,-0.22961893473198083,-0.22961893473198083,2.882683691442818,1.0
1540000,2.8725853,512.5116279069767,-0.14123417,0.5989379,-0.6167499839211814,-0.6167499839211814,3.11376214311564,1.0
1560000,2.8513796,455.0232558139535,-0.11349572,0.5973679,-0.023441861820851215,-0.023441861820851215,2.4980306127216925,1.0
1580000,2.8950634,535.0263157894736,-0.15510187,0.55486006,-0.3527763035273988,-0.3527763035273988,2.986790013499558,1.0
1600000,2.8189332,537.4857142857143,-0.11267484,0.568138,-0.4545705754580387,-0.4545705754580387,3.0444590543561123,1.0
1620000,2.8126674,474.4047619047619,-0.019875472,0.61152005,0.29301860489541404,0.29301860489541404,2.9553418051191542,1.0
1640000,2.8240726,501.9512195121951,0.011777474,0.63422936,0.12916341276410626,0.12916341276410626,2.917991186935091,1.0
1660000,2.7821836,505.72972972972974,-0.039088067,0.6636526,-0.345810819423531,-0.345810819423531,2.9315653524260865,1.0
1680000,2.7690728,541.6756756756756,0.007681001,0.7035301,0.07752162152177629,0.07752162152177629,3.51091177762184,1.0
1700000,2.7327409,408.5,-0.031812202,0.661617,-0.5121538432800802,-0.5121538432800802,2.3249801431173602,1.0
1720000,2.795842,403.8775510204082,-0.0059565757,0.6510496,-0.417044905029779,-0.417044905029779,2.445475302294505,1.0
1740000,2.8119829,512.974358974359,-0.0067347256,0.6132778,0.14056828151820455,0.14056828151820455,2.8419251003666077,1.0
1760000,2.8229856,391.7551020408163,0.04753647,0.6240257,0.025722447950250412,0.025722447950250412,2.4987169465867383,1.0
1780000,2.793697,433.4130434782609,0.0108657,0.616411,-0.5945369382312967,-0.5945369382312967,2.6145931847555484,1.0
1800000,2.9371707,613.4,-0.041078247,0.5624774,-0.3514225638280022,-0.3514225638280022,3.533169466040788,1.0
1820000,2.9061315,438.86,0.04418322,0.6061568,-0.06673672236739753,-0.06673672236739753,2.551887776386658,1.0
